
2024/08/08 (12:02:22) | ===> btop++ v.1.3.2
2024/08/08 (12:02:22) | WARNING: Failed to set locale de_DE.UTF8 continuing anyway.

2024/10/11 (15:50:55) | ===> btop++ v.1.4.0
2024/10/11 (15:50:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (14:47:34) | ===> btop++ v.1.4.0
2024/10/13 (14:47:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (14:48:30) | ===> btop++ v.1.4.0
2024/10/13 (14:48:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (22:44:38) | ===> btop++ v.1.4.0
2024/10/19 (22:44:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (22:46:46) | ===> btop++ v.1.4.0
2024/10/19 (22:46:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (16:39:02) | ===> btop++ v.1.4.0
2024/10/26 (16:39:02) | WARNING: Intel GPU: Failed to initialize PMU
